,0,1,2,3,4
25,"The Palazzo Tower 10, 28 Lok King St, Fo Tan, Hong Kong",,,,
26,"356～362 Lockhart Rd, Wan Chai, Hong Kong",,,,
27,"23 Choi Fung Path, 彩虹 Hong Kong",,,,
28,"356～362 Lockhart Rd, Wan Chai, Hong Kong",,,,
29,"356～362 Lockhart Rd, Wan Chai, Hong Kong",,,,
30,"356～362 Lockhart Rd, Wan Chai, Hong Kong",,,,
31,"Lai Chi Building, 42-56 Leighton Rd, Leighton Hill, Hong Kong",,,,
32,"106-108號 Wan Chai Rd, Wan Chai, Hong Kong","110 Wan Chai Rd, Wan Chai, Hong Kong",,,
33,"Lai Chi Building, 42-56 Leighton Rd, Leighton Hill, Hong Kong",,,,
34,"Lai Chi Building, 42-56 Leighton Rd, Leighton Hill, Hong Kong",,,,
35,"106-108號 Wan Chai Rd, Wan Chai, Hong Kong","110 Wan Chai Rd, Wan Chai, Hong Kong",,,
36,"Wo Che Estate Tai Wo House, Hip Yan St, Wo Che Estate, Hong Kong",,,,
37,"Cheung Hing Building, 110-110C Sai Wan Ho St, Sai Wan Ho, Hong Kong",,,,
38,"Cheung Hing Building, 110-110C Sai Wan Ho St, Sai Wan Ho, Hong Kong",,,,
39,"Cheung Hing Building, 110-110C Sai Wan Ho St, Sai Wan Ho, Hong Kong",,,,
40,"Lai Chi Building, 42-56 Leighton Rd, Leighton Hill, Hong Kong",,,,
41,"Cheung Hong Estate Hong Mei House, 12 Ching Hong Rd, Tsing Yi, Hong Kong",,,,
42,"Island Resort Block 3, 28 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
43,"Lei Tung Estate Tung Ping House, 5 Lei Tung Estate Rd, Ap Lei Chau, Hong Kong",,,,
44,"18 Po Lam Rd N, Yau Yue Wan, Hong Kong",,,,
45,"Tin Wan Estate Tin Chak House, Tin Wan New St, Tin Wan, Hong Kong",,,,
46,"Leung Tin Village, Hong Kong",,,,
47,"Cheung Hong Estate Hong Mei House, 12 Ching Hong Rd, Tsing Yi, Hong Kong",,,,
48,"Cheung Hong Estate Hong Mei House, 12 Ching Hong Rd, Tsing Yi, Hong Kong",,,,
49,"193 Prince Edward Rd W, Mong Kok, Hong Kong",,,,
50,"Tze Tin Tsuen, Hong Kong",,,,
51,"Mount Parker Lodge Blk D, 10 Hong Pak Path, Quarry Bay, Hong Kong",,,,
52,"Heung Hoi Mansion, 28-32 O'brien Rd, Wan Chai, Hong Kong",,,,
53,"Big Wave Bay, Hong Kong",,,,
54,"Shek Lei (ii) Estate Shek Yee House, 8 Shek Li St, Shek Lei, Hong Kong",,,,
55,"233 Wing Lok St, Sheung Wan, Hong Kong",,,,
56,"Taikoo Shing, Kam Din Terrace Ming Kung Mansion, 22 Tai Koo Shing Rd, Taikoo Shing, Hong Kong",,,,
57,"2號 Kwong Lee Rd, Cheung Sha Wan, Hong Kong",,,,
58,"633 King's Rd, Tsat Tsz Mui, Hong Kong",,,,
59,"Fu Yan Court, 23 Sai Wan Ho St, Shau Kei Wan, Hong Kong",,,,
60,"Mount Parker Lodge Blk D, 10 Hong Pak Path, Quarry Bay, Hong Kong",,,,
61,"Building, 25, 41 Hong Ning Rd, Ngau Tau Kok, Hong Kong",,,,
62,"Seaview Garden Block 1, 1 Tsing Yung St, Tuen Mun, Hong Kong",,,,
63,"Siu Sai Wan Estate Block H Sui Moon House, 10 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
64,"Siu Sai Wan Estate Block H Sui Moon House, 10 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
65,"Seaview Garden Block 1, 1 Tsing Yung St, Tuen Mun, Hong Kong",,,,
66,"Hiu Lai Court Block D Hiu Fai House, 21 Hiu Kwong St, Sau Mau Ping, Hong Kong",,,,
67,"4 On Chee Rd, Tai Po, Hong Kong",,,,
68,"80 Lei Yue Mun Rd, Yau Tong, Hong Kong",,,,
69,"Fly Dragon Terrace, 26-32 Tin Hau Temple Rd, Causeway Bay, Hong Kong",,,,
70,"30 號 Gascoigne Rd, Yau Ma Tei, Hong Kong",,,,
71,"Hing Tin Estate Choi Tin House, 8 Lin Tak Rd, Lam Tin, Hong Kong",,,,
72,"18 Wan Tsui Rd, Chai Wan, Hong Kong",,,,
73,"442 King's Rd, North Point, Hong Kong",,,,
74,"Shap Pat Heung, Hong Kong",,,,
75,"442 King's Rd, North Point, Hong Kong",,,,
76,"442 King's Rd, North Point, Hong Kong",,,,
77,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
78,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
79,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
80,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
81,"Hing Tin Estate Choi Tin House, 8 Lin Tak Rd, Lam Tin, Hong Kong",,,,
82,"Bedford Garden Hung Fook Court, 169 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong","Bedford Garden Hong Fook Court, 153 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong",,,
83,"Bedford Garden Hung Fook Court, 169 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong","Bedford Garden Hong Fook Court, 153 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong",,,
84,"Workingberg Commercial Building, 41-47 Marble Rd, North Point, Hong Kong",,,,
85,"442 King's Rd, North Point, Hong Kong",,,,
86,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
87,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
88,"442 King's Rd, North Point, Hong Kong",,,,
89,"Swiss Towers Block 4, 113 Tai Hang Rd, Tai Hang, Hong Kong",,,,
90,"18號 Pak Pat Shan Rd, Red Hill, Hong Kong","18 Pak Pat Shan Rd, Red Hill, Hong Kong",,,
91,"Bauhinia Garden Block 4, 11 Tong Chun St, Tseung Kwan O, Hong Kong",,,,
92,"442 King's Rd, North Point, Hong Kong",,,,
93,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
94,"Bauhinia Garden Block 4, 11 Tong Chun St, Tseung Kwan O, Hong Kong",,,,
95,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
96,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
97,"442 King's Rd, North Point, Hong Kong",,,,
98,"303 Un Chau St, Cheung Sha Wan, Hong Kong",,,,
99,"303 Un Chau St, Cheung Sha Wan, Hong Kong",,,,
100,"Jolly Villa, 8 Tai Hang Rd, Tai Hang, Hong Kong",,,,
101,"442 King's Rd, North Point, Hong Kong",,,,
102,"18號 Pak Pat Shan Rd, Red Hill, Hong Kong","18 Pak Pat Shan Rd, Red Hill, Hong Kong",,,
103,"Jolly Villa, 8 Tai Hang Rd, Tai Hang, Hong Kong",,,,
104,"5 Kent Rd, Kowloon Tong, Hong Kong",,,,
105,"10～16 Po Shan Rd, Mid-Levels, Hong Kong",,,,
106,"Scenic Villa Dr, Sandy Bay, Hong Kong",,,,
107,"5 Kent Rd, Kowloon Tong, Hong Kong",,,,
108,"Lui Che Woo Clinical Sciences Building (Professorial Block), Ngan Shing St, Sha Tin, Hong Kong",,,,
109,"Swiss Towers Block 4, 113 Tai Hang Rd, Tai Hang, Hong Kong",,,,
110,"Baguio Villa Block 31, 550 Victoria Rd, Telegraph Bay, Hong Kong",,,,
111,"Bedford Garden Hung Fook Court, 169 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong","Bedford Garden Hong Fook Court, 153 Tin Hau Temple Rd, Tsat Tsz Mui, Hong Kong",,,
112,"Swiss Towers Block 4, 113 Tai Hang Rd, Tai Hang, Hong Kong",,,,
113,"1/F, CNT Tower, 338 Hennessy Rd, Wan Chai, Hong Kong",,,,
114,"1/F, CNT Tower, 338 Hennessy Rd, Wan Chai, Hong Kong",,,,
115,"10～16 Po Shan Rd, Mid-Levels, Hong Kong",,,,
116,"Hong Kong, 薄扶林域多利道550號45 – 48",,,,
117,"Hong Kong, 薄扶林域多利道550號45 – 48",,,,
118,"Hong Kong, 薄扶林域多利道550號45 – 48",,,,
119,"Goodrich Garden, Leung Tak St, Tuen Mun, Hong Kong",,,,
120,"Goodrich Garden, Leung Tak St, Tuen Mun, Hong Kong",,,,
121,"Goodrich Garden, Leung Tak St, Tuen Mun, Hong Kong",,,,
122,"Kin Sun Building, 157-161 Kweilin St, Un Chau, Hong Kong",,,,
123,"4 On Chee Rd, Tai Po, Hong Kong",,,,
124,"Po Fook Memorial Hall, 1 Yau On St, Sha Tin, Hong Kong",,,,
125,"88 Cha Kwo Ling Rd, Lam Tin, Hong Kong",,,,
126,"88 Cha Kwo Ling Rd, Lam Tin, Hong Kong",,,,
127,"33 Castle Peak Rd (Sham Tseng), Sham Tseng, Hong Kong",,,,
128,"33 Castle Peak Rd (Sham Tseng), Sham Tseng, Hong Kong",,,,
129,"223 Hing Fong Rd, Kwai Chung, Hong Kong",,,,
130,"223 Hing Fong Rd, Kwai Chung, Hong Kong",,,,
131,"Pok Fu Lam Road, Lung Fu Shan, Hong Kong",,,,
132,"625 King's Road, 625 King's Rd, Tsat Tsz Mui, Hong Kong","625 King's Road, 625 King's Rd, Tsat Tsz Mui, Hong Kong",,,
133,"48 Percival St, Causeway Bay, Hong Kong",,,,
134,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
135,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
136,"Block A, Tai Hang Terrace, 5 Chun Fai Rd, Tai Hang, Hong Kong",,,,
137,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
138,"2 Village Rd, Happy Valley, Hong Kong",,,,
139,"6 Chung Nga Rd, Tai Po, Hong Kong",,,,
140,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
141,"7-19 Tsing Luk St, Tsing Yi, Hong Kong",,,,
142,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
143,"The Harbourview, 4 Harbour Rd, Wan Chai, Hong Kong",,,,
144,"Hebe Haven, Hong Kong",,,,
145,"Fort Mansion, 25-27 Fort St, North Point, Hong Kong",,,,
146,"2 Village Rd, Happy Valley, Hong Kong",,,,
147,"40 Stubbs Rd, Happy Valley, Hong Kong",,,,
148,"Ping On House, 12-13 Wu Nam St, Aberdeen, Hong Kong","2 Chengtu Rd, Aberdeen, Hong Kong",,,
149,"1, 145號 Battery St, Yau Ma Tei, Hong Kong",,,,
150,"Kowloon Mosque And Islamic Centre, 105 Nathan Rd, Tsim Sha Tsui, Hong Kong",,,,
151,"2 Hoi Chu Rd, Tuen Mun, Hong Kong",,,,
152,"55 Wing Hong St, Cheung Sha Wan, Hong Kong",,,,
153,"1/F, CNT Tower, 338 Hennessy Rd, Wan Chai, Hong Kong",,,,
154,"80 Sheung Shing St, Quarry Hill, Hong Kong",,,,
155,"183號 Queen's Rd E, Wan Chai, Hong Kong",,,,
156,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
157,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
158,"Harvest Moon House, 337-339 Nathan Rd, Yau Ma Tei, Hong Kong",,,,
159,"23 Carmel Rd, Stanley, Hong Kong",,,,
160,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
161,"1 Austin Road West Kowloon Station, Yau Ma Tei, Hong Kong",,,,
162,"Kowloon Station, West Kowloon, Hong Kong",,,,
163,"30 號 Gascoigne Rd, Yau Ma Tei, Hong Kong",,,,
164,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
165,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
166,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
167,"183號 Queen's Rd E, Wan Chai, Hong Kong",,,,
168,"Scenic Rise, 46 Caine Rd, Mid-Levels, Hong Kong",,,,
169,"353 Castle Peak Rd (Ting Kau), Ting Kau, Hong Kong",,,,
170,"九座11D 富花園, Ma On Shan, Hong Kong",,,,
171,"Jubilee Garden Block 2, 2-18 Lok King St, Fo Tan, Hong Kong",,,,
172,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
173,"14 Granville Rd, Tsim Sha Tsui, Hong Kong",,,,
174,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
175,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
176,"Silver Jubilee Mansion, 62-72 Po Hing Fong, Tai Ping Shan, Hong Kong",,,,
177,"Silver Jubilee Mansion, 62-72 Po Hing Fong, Tai Ping Shan, Hong Kong",,,,
178,"Queen Mary Hospital Main Block, Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
179,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
180,"Hong Kong International Airport, 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",,,,
181,"39 Tai Mong Tsai Rd, Sai Kung, Hong Kong",,,,
182,"80 Tat Chee Ave, Kowloon Tong, Hong Kong",,,,
183,"1 D'Aguilar St, Central, Hong Kong",,,,
184,"Island Resort Block 1, 28 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
185,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
186,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
187,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
188,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
189,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
190,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
191,"1 D'Aguilar St, Central, Hong Kong",,,,
192,"6 Tsun Wen Rd, Tuen Mun, Hong Kong",,,,
193,"Printing House, 18 Ice House St, Central, Hong Kong",,,,
194,"1 D'Aguilar St, Central, Hong Kong",,,,
195,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
196,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
197,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
198,"30-32 D'Aguilar St, Central, Hong Kong",,,,
199,"170號 Pik Wan Rd, Lam Tin, Hong Kong",,,,
200,"246 Castle Peak Road (Yuen Long), Yuen Long, Hong Kong",,,,
201,"9 Po Kin Road, Sheung Shui, Hong Kong",,,,
202,"Repulse Bay Garden Block 4, 24 Belleview Dr, Repulse Bay, Hong Kong",,,,
203,"33 Lai Ping Rd, Kau To Shan, Hong Kong",,,,
204,"新界將軍澳唐德街9號, Park Central, 9 Tong Tak St, Tseung Kwan O, Hong Kong",,,,
205,"10 Chater Rd, Central, Hong Kong",,,,
206,"18 Old Peak Rd, Mid-Levels, Hong Kong",,,,
207,"9 Ship St, Wan Chai, Hong Kong",,,,
208,"18 Salisbury Rd, Tsim Sha Tsui, Hong Kong",,,,
209,"Hoover Towers Block 1, 15 Sau Wa Fong, Wan Chai, Hong Kong",,,,
210,"22-34 Lee Tung St, Wan Chai, Hong Kong",,,,
211,"Tung Chung Crescent Block 5, Shun Tung Rd, Tung Chung Crescent, Hong Kong",,,,
212,"Envoy Garden, 108-110 Blue Pool Rd, Happy Valley, Hong Kong",,,,
213,"200 Queen's Rd E, Wan Chai, Hong Kong",,,,
214,"Sakura Court, 58-60 Kennedy Rd, Mid-Levels, Hong Kong",,,,
215,"Villa Monte Rosa Block F, 41A Stubbs Rd, Hong Kong",,,,
216,"1 High St, Mid-Levels, Hong Kong",,,,
217,"70 Tin Hau Temple Rd, Hong Kong",,,,
218,"1-2 On Yuk Rd, Tsuen King Circuit, Hong Kong",,,,
219,"Vision City Tower 1, 1 Yeung Uk Rd, Tsuen Wan, Hong Kong",,,,
220,"Yee Kok Court Yee Tai House, 329-343 Cheung Sha Wan Rd, Sham Shui Po, Hong Kong",,,,
221,"Hampton Place Tower 3, 11 Hoi Fan Rd, Tai Kok Tsui, Hong Kong",,,,
222,"及 16 號, 8 Hoi Ting Rd, Mong Kok, Hong Kong",,,,
223,"5-7號 May Rd, Mid-Levels, Hong Kong",,,,
224,"Gross Pointe Villa, 4 Stanley Village Rd, Stanley, Hong Kong",,,,
225,"San Po Kong, Hong Kong",,,,
226,"2 Ice House St, Central, Hong Kong",,,,
227,"8 Hok Ling St, Ma Tau Kok, Hong Kong",,,,
228,"651 King's Rd, Tsat Tsz Mui, Hong Kong",,,,
229,"1 Harbour Dr, Wan Chai, Hong Kong",,,,
230,"9 Tin Shui Rd, Tin Shui Wai, Hong Kong","Yuen Long, Hong Kong","Yuen Long District, Hong Kong",,
231,"1 Ma Sik Rd, Fanling, Hong Kong",,,,
232,"號 No, 108 Wai Yip St, Kwun Tong, Hong Kong",,,,
233,"S Bay Rd, Repulse Bay, Hong Kong",,,,
234,"18號 Pak Pat Shan Rd, Red Hill, Hong Kong",,,,
235,"33號 Hennessy Rd, Wan Chai, Hong Kong","373 Queen's Rd E, Wan Chai, Hong Kong",,,
236,"Tung Lam Court, 63 Yiu Hing Rd, Sai Wan Ho, Hong Kong",,,,
237,"63 Wing Tai Rd, Chai Wan, Hong Kong",,,,
238,"Wo Tong Kong, Clear Water Bay, Hong Kong",,,,
239,"608 Sai Sha Rd, Ma On Shan, Hong Kong","9 Ma Kam Street, Ma On Shan, Hong Kong",,,
240,"Hong Kong, 灣仔港灣道25號海港中心23/F",,,,
241,"118 Tam Kung Rd, Ma Tau Chung, Hong Kong",,,,
242,"38 Tat Chee Ave, Yau Yat Chuen, Hong Kong",,,,
243,"Tip Sum House Butterfly Estate; Wu Chui Road, Butterfly Beach, Hong Kong",,,,
244,"Po Hing Mansion, Wa Ning Ln, Tai Ping Shan, Hong Kong","Hong Kong, Tai Ping Shan, Po Hing Fong, 2號Shop A, G/F, Po Hing Mansions",,,
245,"Beverly Hill - Quarters Block C, 6 Broadwood Rd, So Kon Po, Hong Kong",,,,
246,"8 Ventris Rd, Happy Valley, Hong Kong",,,,
247,"263 Hollywood Rd, Central, Hong Kong",,,,
248,"Taikoo Shing, Harbour View Gardens Maple Mansion, 18 Tai Koo Wan Rd, Quarry Bay, Hong Kong",,,,
249,"Healthy Village - Phase2 Block 1a Hong Cheung Court, King's Rd, Tsat Tsz Mui, Hong Kong",,,,
250,"Third St, Sai Ying Pun, Hong Kong",,,,
251,"Ma On Shan Centre Block 1, 1 On Chun St, Ma On Shan, Hong Kong",,,,
252,"The Grandville Tower D, 2 Lok Kwai Path, Fo Tan, Hong Kong",,,,
253,"Hong Kong Sports Institute, 25 Yuen Wo Rd, Sha Tin, Hong Kong",,,,
254,"Tai Hing Estate Hing Fai House, 2 Tai Fong St, Tuen Mun, Hong Kong",,,,
255,"Lohas Park Phase 1 The Capitol Tower 1 Banff, 1 Lohas Park Rd, Tseung Kwan O, Hong Kong",,,,
256,"Ocean Shores Tower 9, 88 O King Rd, Tseung Kwan O, Hong Kong",,,,
257,"Tin Yiu (i) Estate Block 3 Yiu Foo House, 2 Tin Wu Rd, Tin Shui Wai, Hong Kong",,,,
258,"Tin Yiu (i) Estate Block 3 Yiu Foo House, 2 Tin Wu Rd, Tin Shui Wai, Hong Kong",,,,
259,"70 Tin Hau Temple Rd, Hong Kong",,,,
260,"Cheong Shing Court, 7 San Lau St, Lo Lung Hang, Hong Kong",,,,
261,"Draco Industrial Building, 46 Lai Yip St, Kwun Tong, Hong Kong",,,,
262,"Shek Yam East Estate Yam Heng House, Shek Yam, Hong Kong",,,,
263,"1 Harbour Dr, Wan Chai, Hong Kong",,,,
264,"Silvercrest, 24 Macdonnell Rd, Mid-Levels, Hong Kong",,,,
265,"34 Belleview Dr, Repulse Bay, Hong Kong","號, 7 Belleview Dr, Repulse Bay, Hong Kong",,,
266,"189 Queen's Rd W, Sai Ying Pun, Hong Kong",,,,
267,"63 Wing Tai Rd, Chai Wan, Hong Kong",,,,
268,"Kornhill Block Q, 8 Hong On St, Kornhill, Hong Kong",,,,
269,"Mei Foo Sun Chuen, Hong Kong",,,,
270,"Caribbean Coast Phase 3 Carmel Cove Tower 12, 1 Kin Tung Rd, Caribbean Coast, Hong Kong",,,,
271,"Prosperous Garden Block 4, 3 Public Square St, Yau Ma Tei, Hong Kong",,,,
272,"Hoi Fu Court Block A Hoi Yan House, Hoi Ting Rd, Mong Kok, Hong Kong",,,,
273,"84 Hung To Rd, Kwun Tong, Hong Kong",,,,
274,"Tai Shing St, Chuk Un, Hong Kong",,,,
275,"G/F, 76 Jaffe Rd, Wan Chai, Hong Kong",,,,
276,"307 Jaffe Rd, Wan Chai, Hong Kong",,,,
277,"8 Ventris Rd, Happy Valley, Hong Kong",,,,
278,"Parkvale Village - Discovery Bay Woodland Court, 6 Parkvale Dr, Discovery Bay, Hong Kong",,,,
279,Hong Kong,,,,
280,"120 Connaught Rd W, Sai Ying Pun, Hong Kong",,,,
281,"208 Hollywood Rd, Tai Ping Shan, Hong Kong",,,,
282,"55 Wong Chuk Hang Rd, Aberdeen, Hong Kong",,,,
283,"Bayshore Towers Block 6, 608 Sai Sha Rd, Ma On Shan, Hong Kong",,,,
284,"8 Hoi Fai Rd, Tai Kok Tsui, Hong Kong",,,,
285,"Pak Kong Au Rd, Sai Kung, Hong Kong",,,,
286,"138 Yeung Uk Rd, Tsuen Wan, Hong Kong",,,,
287,"Provident Centre Block 2, Wharf Rd, North Point, Hong Kong",,,,
288,"Lei King Wan On Hiu Mansion, 60 Lei King Rd, Aldrich Bay, Hong Kong",,,,
289,"64 Wong Chuk Hang Rd, Hong Kong",,,,
290,"52 Cape Rd, Ma Hang, Hong Kong",,,,
291,"8 Shelter St, Causeway Bay, Hong Kong",,,,
292,"Monmouth Villa, 3 Monmouth Terrace, Wan Chai, Hong Kong",,,,
293,Hong Kong,,,,
294,"City Point Block 1, 48 Wing Shun St, Tsuen Wan, Hong Kong",,,,
295,"Fanling, Hong Kong","Fanling Wai, Hong Kong",,,
296,"88 Chun Yeung St, North Point, Hong Kong",,,,
297,"Wah Ming Estate Block 1 Lai Ming House, 21 Wah Ming Rd, Fanling, Hong Kong",,,,
298,"紅磡灣, 12號, Hung Lok Rd, Hung Hom, Hong Kong",,,,
299,"86 Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",,,,
300,"Kwong Lam Court Block C Fook Lam House, 68 Siu Lek Yuen Road, Siu Lek Yuen, Hong Kong",,,,
301,"Hong Kong Sports Institute, 25 Yuen Wo Rd, Sha Tin, Hong Kong",,,,
302,"63號 Yiu Hing Rd, Sai Wan Ho, Hong Kong",,,,
303,"63號 Yiu Hing Rd, Sai Wan Ho, Hong Kong",,,,
304,"Hong Kong Island, Hong Kong",,,,
305,"191-193 Shau Kei Wan Road, 191-193 Shau Kei Wan Rd, Shau Kei Wan, Hong Kong","191-193 Shau Kei Wan Road, 191-193 Shau Kei Wan Rd, Shau Kei Wan, Hong Kong",,,
306,Hong Kong,,,,
307,"Tak Tin Estate Block 5 Tak Shui House, 223 Pik Wan Rd, Lam Tin, Hong Kong",,,,
308,"Celeste Court, 10-12 Fung Fai Terrace, Happy Valley, Hong Kong",,,,
309,"8 Conduit Rd, Mid-Levels, Hong Kong",,,,
310,E,r,r,o,r
311,"Kwai Hong Court Block B Kwai Yat House, 150 Tai Wo Hau Rd, Kwai Chung, Hong Kong",,,,
312,"Lyton Building, 32-48 Mody Rd, Tsim Sha Tsui, Hong Kong",,,,
313,"Yee Kok Court Yee Tai House, 329-343 Cheung Sha Wan Rd, Sham Shui Po, Hong Kong",,,,
314,"Wise Mansion, 52 Robinson Rd, Mid-Levels, Hong Kong",,,,
315,"100 Cyberport Rd, Telegraph Bay, Hong Kong",,,,
316,"Marina Cove, Hong Kong",,,,
317,"Aqua 33, 33 Consort Rise, Sandy Bay, Hong Kong",,,,
318,"Hee Wong Terrace, Kennedy Town, Hong Kong",,,,
319,"9 Tsing Fat Ln, Siu Lam, Hong Kong",,,,
320,"51号, Man Tung Rd, Tung Chung, Hong Kong",,,,
321,"Hong Kong, Kowloon Tong, Stafford Rd, 25號行德園",,,,
322,"君頤峰 / PARC PALAIS, NO. 18, Wylie Rd, King's Park, 18號 Wylie Rd, King's Park, Hong Kong",,,,
323,"86 Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",,,,
324,"41 Conduit Rd, Mid-Levels, Hong Kong",,,,
325,"33號 Tai Tam Rd, Stanley, Hong Kong",,,,
326,"18 Old Peak Rd, Mid-Levels, Hong Kong",,,,
327,"Ying Hei Rd, Tung Chung, Hong Kong",,,,
328,Hong Kong,,,,
329,Hong Kong,,,,
330,Hong Kong,,,,
